year_film,film,film_key,release_month,query,status,matched_title,matched_vanity,matched_release_year,tomatometer_rating,audience_rating,poster_url,rt_url,match_score,match_reason,rt_updated_at,fetched_at,error_message
2000,Chocolat,chocolat,,Chocolat,matched,Chocolat,chocolat,2000,63,83,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p26689_p_v8_aa.jpg,https://www.rottentomatoes.com/m/chocolat,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:03:05.741Z,2026-04-10T00:05:42.712409+00:00,
2000,"Crouching Tiger, Hidden Dragon",crouching tiger hidden dragon,,"Crouching Tiger, Hidden Dragon",matched,"Crouching Tiger, Hidden Dragon",crouching_tiger_hidden_dragon,2000,96,86,https://resizing.flixster.com/huyAd6be-6f54RY3NcfaCS00pgo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzBjOWM4MTRlLWRjZWUtNDM4NS1hYzEwLWZhOGMxMmMzODg5NS5qcGc=,https://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T05:11:14.406Z,2026-04-10T00:05:42.712409+00:00,
2000,Erin Brockovich,erin brockovich,,Erin Brockovich,matched,Erin Brockovich,erin_brockovich,2000,87,81,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p24917_p_v11_aa.jpg,https://www.rottentomatoes.com/m/erin_brockovich,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T01:57:21.278Z,2026-04-10T00:05:42.712409+00:00,
2000,Gladiator,gladiator,,Gladiator,matched,Gladiator,gladiator,2000,80,87,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p24674_p_v12_bc.jpg,https://www.rottentomatoes.com/m/gladiator,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T16:38:54.156Z,2026-04-10T00:05:42.712409+00:00,
2000,Traffic,traffic,,Traffic,matched,Traffic,1103281-traffic,2000,93,85,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p26760_p_v8_ae.jpg,https://www.rottentomatoes.com/m/1103281-traffic,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T00:55:58.276Z,2026-04-10T00:05:42.712409+00:00,
2001,A Beautiful Mind,a beautiful mind,,A Beautiful Mind,matched,A Beautiful Mind,beautiful_mind,2001,74,93,https://resizing.flixster.com/QmvY5qbZw45ulZNcSkGgBFF7jeU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzJjMGY0MDkwLTA0YjktNGRhMC1iNWMzLTg5OWRhYTc0ZTcyNy5qcGc=,https://www.rottentomatoes.com/m/beautiful_mind,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T20:15:28.995Z,2026-04-10T00:05:42.712409+00:00,
2001,Gosford Park,gosford park,,Gosford Park,matched,Gosford Park,gosford_park,2001,87,78,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p28812_p_v10_ah.jpg,https://www.rottentomatoes.com/m/gosford_park,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:02:24.072Z,2026-04-10T00:05:42.712409+00:00,
2001,In the Bedroom,in the bedroom,,In the Bedroom,matched,In the Bedroom,in_the_bedroom,2001,93,81,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25975_p_v10_ab.jpg,https://www.rottentomatoes.com/m/in_the_bedroom,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T01:00:52.108Z,2026-04-10T00:05:42.712409+00:00,
2001,Moulin Rouge,moulin rouge,,Moulin Rouge,matched,Moulin Rouge,moulin_rouge_2001,2001,75,89,https://resizing.flixster.com/kzChGzGwY-apVFVczknOumDNODY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzYwZmM5MzE1LWIyOWQtNGNiNC1iNDg4LTE2NDRjMTM2MzA2NC53ZWJw,https://www.rottentomatoes.com/m/moulin_rouge_2001,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:03:05.008Z,2026-04-10T00:05:42.712409+00:00,
2001,The Lord of the Rings: The Fellowship of the Ring,the lord of the rings the fellowship of the ring,,The Lord of the Rings: The Fellowship of the Ring,matched,The Lord of the Rings: The Fellowship of the Ring,the_lord_of_the_rings_the_fellowship_of_the_ring,2001,91,95,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p28828_p_v8_ao.jpg,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:02:06.608Z,2026-04-10T00:05:42.712409+00:00,
