year_film,name,film,bafta_nom,bafta_win
2020,Frances McDormand,Nomadland,1,1
2020,Alfre Woodard,Clemency,1,0
2020,Bukky Bakray,Rocks,1,0
2020,Radha Blank,The Forty-Year-Old Version,1,0
2020,Vanessa Kirby,Pieces of a Woman,1,0
2020,Wunmi Mosaku,His House,1,0
2021,Joanna Scanlan,After Love,1,1
2021,Lady Gaga,House of Gucci,1,0
2021,Alana Haim,Licorice Pizza,1,0
2021,Emilia Jones,CODA,1,0
2021,Renate Reinsve,The Worst Person in the World,1,0
2021,Tessa Thompson,Passing,1,0
2022,Cate Blanchett,Tár,1,1
2022,Viola Davis,The Woman King,1,0
2022,Ana de Armas,Blonde,1,0
2022,Danielle Deadwyler,Till,1,0
2022,Emma Thompson,Good Luck to You Leo Grande,1,0
2022,Michelle Yeoh,Everything Everywhere All at Once,1,0
2023,Emma Stone,Poor Things,1,1
2023,Fantasia Barrino,The Color Purple,1,0
2023,Sandra Hüller,Anatomy of a Fall,1,0
2023,Carey Mulligan,Maestro,1,0
2023,Vivian Oparah,Rye Lane,1,0
2023,Margot Robbie,Barbie,1,0
2024,Mikey Madison,Anora,1,1
2024,Cynthia Erivo,Wicked,1,0
2024,Karla Sofía Gascón,Emilia Pérez,1,0
2024,Marianne Jean-Baptiste,Hard Truths,1,0
2024,Demi Moore,The Substance,1,0
2024,Saoirse Ronan,The Outrun,1,0
