year_film,film,bafta_nom_count,bafta_win_count
2021,Dune,11,5
2021,The Power of the Dog,8,2
2021,Belfast,6,0
2021,Licorice Pizza,5,0
2021,No Time to Die,5,0
2021,West Side Story,5,2
2021,After Love,4,0
2021,Boiling Point,4,0
2021,Cyrano,4,0
2021,Don't Look Up,4,0
2021,King Richard,4,0
2021,Passing,4,0
2021,CODA,3,2
2021,Drive My Car,3,0
2021,The French Dispatch,3,0
2021,House of Gucci,3,0
2021,Nightmare Alley,3,0
2021,Ali & Ava,2,0
2021,Being the Ricardos,2,0
2021,Cruella,2,0
2021,Flee,2,0
2021,The Hand of God,2,0
2021,Last Night in Soho,2,0
2021,The Lost Daughter,2,0
2021,Summer of Soul,2,0
2021,The Worst Person in the World,2,0
2022,All Quiet on the Western Front,14,7
2022,The Banshees of Inisherin,10,4
2022,Everything Everywhere All at Once,10,0
2022,Elvis,9,4
2022,Tár,5,0
2022,Aftersun,4,0
2022,The Batman,4,0
2022,"Good Luck to You, Leo Grande",4,0
2022,Top Gun: Maverick,4,0
2022,The Whale,4,0
2022,Babylon,3,0
2022,Empire of Light,3,0
2022,Guillermo del Toro's Pinocchio,3,0
2022,Living,3,0
2022,Triangle of Sadness,3,0
2022,Avatar: The Way of Water,2,0
2022,Decision to Leave,2,0
2022,The Quiet Girl,2,0
2022,Roald Dahl's Matilda the Musical,2,0
2022,She Said,2,0
2022,The Woman King,2,0
2023,Oppenheimer,13,7
2023,Poor Things,11,5
2023,Killers of the Flower Moon,9,0
2023,The Zone of Interest,9,3
2023,Anatomy of a Fall,7,0
2023,The Holdovers,7,2
2023,Maestro,7,0
2023,All of Us Strangers,6,0
2023,Barbie,5,0
2023,Saltburn,5,0
2023,Napoleon,4,0
2023,How to Have Sex,3,0
2023,Past Lives,3,0
2023,20 Days in Mariupol,2,0
2023,The Color Purple,2,0
2023,Mission: Impossible - Dead Reckoning Part One,2,0
2023,Rye Lane,2,0
2023,Spider-Man: Across the Spider-Verse,2,0
2024,Conclave,12,4
2024,Emilia Pérez,11,2
2024,The Brutalist,9,4
2024,Anora,7,2
2024,Dune: Part Two,7,2
2024,Wicked,7,2
2024,A Complete Unknown,6,0
2024,Kneecap,6,0
2024,Nosferatu,5,0
2024,The Substance,5,0
2024,The Apprentice,3,0
2024,Blitz,3,0
2024,Gladiator II,3,0
2024,Sing Sing,3,0
2024,"Wallace & Gromit: Vengeance Most Fowl",3,2
2024,The Wild Robot,3,0
2024,Flow,2,0
2024,Hard Truths,2,0
2024,The Outrun,2,0
2024,A Real Pain,2,2
2025,One Battle After Another,14,6
2025,Sinners,13,3
2025,Hamnet,11,2
2025,Marty Supreme,11,0
2025,Frankenstein,8,3
2025,Sentimental Value,8,0
2025,Bugonia,5,0
2025,I Swear,5,2
2025,The Ballad of Wallis Island,3,0
2025,F1,3,0
2025,Pillion,3,0
2025,The Secret Agent,2,0
2025,Wicked: For Good,2,0
2025,Zootopia 2,2,0
