year_film,film,release_month,metacritic_score,cannes_flag,venice_flag,tiff_flag,telluride_flag,sundance_flag,sxsw_flag,manual_contender_flag,notes,wikipedia_title
2015,Bridge of Spies,10,81.0,0,0,0,0,0,0,0,Auto-refreshed from Wikipedia page Bridge_of_Spies_(film),Bridge_of_Spies_(film)
2015,Brooklyn,11,88.0,0,0,1,0,1,0,0,Auto-refreshed from Wikipedia page Brooklyn_(film),Brooklyn_(film)
2015,Mad Max: Fury Road,5,90.0,1,0,0,0,0,0,0,Auto-refreshed from Wikipedia page Mad_Max:_Fury_Road,Mad_Max:_Fury_Road
2015,Room,10,86.0,0,0,1,1,0,0,0,Auto-refreshed from Wikipedia page Room_(2015_film),Room_(2015_film)
2015,Spotlight,11,93.0,0,1,1,1,0,0,0,Auto-refreshed from Wikipedia page Spotlight_(film),Spotlight_(film)
2015,The Big Short,12,81.0,0,0,0,0,0,0,0,Auto-refreshed from Wikipedia page The_Big_Short_(film),The_Big_Short_(film)
2015,The Martian,10,80.0,1,0,1,0,0,0,0,Auto-refreshed from Wikipedia page The_Martian_(film),The_Martian_(film)
2015,The Revenant,12,76.0,0,0,0,0,0,0,0,Auto-refreshed from Wikipedia page The_Revenant_(2015_film),The_Revenant_(2015_film)
2016,Arrival,11,81.0,0,1,1,1,0,0,0,Auto-refreshed from Wikipedia page Arrival_(film),Arrival_(film)
2016,Fences,12,79.0,0,0,0,0,0,0,0,Auto-refreshed from Wikipedia page Fences_(film),Fences_(film)
2016,Hacksaw Ridge,11,71.0,0,1,0,0,0,0,0,Auto-refreshed from Wikipedia page Hacksaw_Ridge,Hacksaw_Ridge
2016,Hell or High Water,8,88.0,1,0,0,0,0,0,0,Auto-refreshed from Wikipedia page Hell_or_High_Water_(film),Hell_or_High_Water_(film)
2016,Hidden Figures,12,74.0,0,0,0,0,0,0,0,Auto-refreshed from Wikipedia page Hidden_Figures,Hidden_Figures
2016,La La Land,12,94.0,0,1,1,1,1,0,0,Auto-refreshed from Wikipedia page La_La_Land_(film),La_La_Land_(film)
