year_film,film,globe_nom_count,globe_win_count
2020,Mank,6,0
2020,The Trial of the Chicago 7,5,0
2020,The Father,4,0
2020,Nomadland,4,2
2020,Promising Young Woman,4,0
2020,Borat Subsequent Moviefilm,3,2
2020,One Night in Miami...,3,0
2020,Hamilton,2,0
2020,Judas and the Black Messiah,2,0
2020,The Life Ahead,2,0
2020,Ma Rainey's Black Bottom,2,0
2020,The Mauritanian,2,0
2020,Music,2,0
2020,News of the World,2,0
2020,Palm Springs,2,0
2020,The Prom,2,0
2020,Soul,2,2
2020,The United States vs. Billie Holiday,2,0
2021,Belfast,7,0
2021,The Power of the Dog,7,3
2021,Don't Look Up,4,0
2021,King Richard,4,0
2021,Licorice Pizza,4,0
2021,West Side Story,4,3
2021,Being the Ricardos,3,0
2021,Dune,3,0
2021,Encanto,3,0
2021,CODA,2,0
2021,Cyrano,2,0
2021,The Lost Daughter,2,0
2021,Parallel Mothers,2,0
2021,"tick, tick... BOOM!",2,0
2022,The Banshees of Inisherin,8,3
2022,Everything Everywhere All at Once,6,2
2022,Babylon,5,0
2022,The Fabelmans,5,2
2022,Elvis,3,0
2022,Guillermo del Toro's Pinocchio,3,0
2022,Tár,3,0
2022,Avatar: The Way of Water,2,0
2022,Black Panther: Wakanda Forever,2,0
2022,The Menu,2,0
2022,Glass Onion: A Knives Out Mystery,2,0
2022,RRR,2,0
2022,Top Gun: Maverick,2,0
2022,Triangle of Sadness,2,0
2022,Women Talking,2,0
2023,Barbie,9,2
2023,Oppenheimer,8,5
2023,Killers of the Flower Moon,7,0
2023,Poor Things,7,2
2023,Past Lives,5,0
2023,Anatomy of a Fall,4,2
2023,Maestro,4,0
2023,May December,4,0
2023,The Holdovers,3,2
2023,Spider-Man: Across the Spider-Verse,3,0
2023,The Super Mario Bros. Movie,3,0
2023,The Zone of Interest,3,0
2023,Air,2,0
2023,American Fiction,2,0
2023,The Boy and the Heron,2,0
2023,The Color Purple,2,0
2023,Fallen Leaves,2,0
2023,Nyad,2,0
2023,Rustin,2,0
2023,Saltburn,2,0
2024,Emilia Pérez,10,4
2024,The Brutalist,7,3
2024,Conclave,6,0
2024,Anora,5,0
2024,The Substance,5,0
2024,Challengers,4,0
2024,A Real Pain,4,0
2024,Wicked,4,0
2024,The Wild Robot,4,0
2024,A Complete Unknown,3,0
2024,All We Imagine as Light,2,0
2024,The Apprentice,2,0
2024,Dune: Part Two,2,0
2024,Gladiator II,2,0
2024,I'm Still Here,2,0
2024,Inside Out 2,2,0
2024,The Last Showgirl,2,0
2025,One Battle After Another,9,4
2025,Sentimental Value,8,0
2025,Sinners,7,2
2025,Hamnet,6,2
2025,Frankenstein,5,0
2025,Wicked: For Good,5,0
2025,It Was Just an Accident,4,2
2025,Bugonia,3,0
2025,KPop Demon Hunters,3,2
2025,Marty Supreme,3,0
2025,No Other Choice,3,0
2025,The Secret Agent,3,2
2025,Avatar: Fire and Ash,2,0
2025,Blue Moon,2,0
2025,F1,2,0
2025,Jay Kelly,2,0
2025,Sirât,2,0
2025,The Smashing Machine,2,0
2025,Train Dreams,2,0
2025,Weapons,2,0
2025,Zootopia 2,2,0
