year_film,film,tomatometer_rating,audience_rating,rt_release_month,rt_url,poster_url
2000,Chocolat,63.0,83.0,,https://www.rottentomatoes.com/m/chocolat,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p26689_p_v8_aa.jpg
2000,"Crouching Tiger, Hidden Dragon",96.0,86.0,,https://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon,https://resizing.flixster.com/huyAd6be-6f54RY3NcfaCS00pgo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzBjOWM4MTRlLWRjZWUtNDM4NS1hYzEwLWZhOGMxMmMzODg5NS5qcGc=
2000,Erin Brockovich,87.0,81.0,,https://www.rottentomatoes.com/m/erin_brockovich,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p24917_p_v11_aa.jpg
2000,Gladiator,80.0,87.0,,https://www.rottentomatoes.com/m/gladiator,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p24674_p_v12_bc.jpg
2000,Traffic,93.0,85.0,,https://www.rottentomatoes.com/m/1103281-traffic,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p26760_p_v8_ae.jpg
2001,A Beautiful Mind,74.0,93.0,,https://www.rottentomatoes.com/m/beautiful_mind,https://resizing.flixster.com/QmvY5qbZw45ulZNcSkGgBFF7jeU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzJjMGY0MDkwLTA0YjktNGRhMC1iNWMzLTg5OWRhYTc0ZTcyNy5qcGc=
2001,Gosford Park,87.0,78.0,,https://www.rottentomatoes.com/m/gosford_park,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p28812_p_v10_ah.jpg
2001,In the Bedroom,93.0,81.0,,https://www.rottentomatoes.com/m/in_the_bedroom,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25975_p_v10_ab.jpg
2001,Moulin Rouge,75.0,89.0,,https://www.rottentomatoes.com/m/moulin_rouge_2001,https://resizing.flixster.com/kzChGzGwY-apVFVczknOumDNODY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzYwZmM5MzE1LWIyOWQtNGNiNC1iNDg4LTE2NDRjMTM2MzA2NC53ZWJw
2001,The Lord of the Rings: The Fellowship of the Ring,91.0,95.0,,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p28828_p_v8_ao.jpg
2002,Chicago,87.0,83.0,,https://www.rottentomatoes.com/m/chicago,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p30995_p_v13_ah.jpg
2002,Gangs of New York,72.0,81.0,,https://www.rottentomatoes.com/m/gangs_of_new_york,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p28877_p_v10_as.jpg
