year_film,name,film,sag_nom,sag_win
2020,Chadwick Boseman,Ma Rainey's Black Bottom,1,1
2020,Riz Ahmed,Sound of Metal,1,0
2020,Anthony Hopkins,The Father,1,0
2020,Gary Oldman,Mank,1,0
2020,Steven Yeun,Minari,1,0
2021,Will Smith,King Richard,1,1
2021,Javier Bardem,Being the Ricardos,1,0
2021,Andrew Garfield,tick tick... BOOM!,1,0
2021,Benedict Cumberbatch,The Power of the Dog,1,0
2021,Denzel Washington,The Tragedy of Macbeth,1,0
2022,Brendan Fraser,The Whale,1,1
2022,Austin Butler,Elvis,1,0
2022,Paul Mescal,Aftersun,1,0
2022,Bill Nighy,Living,1,0
2022,Adam Sandler,Hustle,1,0
2023,Cillian Murphy,Oppenheimer,1,1
2023,Paul Giamatti,The Holdovers,1,0
2023,Bradley Cooper,Maestro,1,0
2023,Colman Domingo,Rustin,1,0
2023,Jeffrey Wright,American Fiction,1,0
2024,Adrien Brody,The Brutalist,1,1
2024,Timothée Chalamet,A Complete Unknown,1,0
2024,Daniel Craig,Queer,1,0
2024,Colman Domingo,Sing Sing,1,0
2024,Ralph Fiennes,Conclave,1,0
