year_film,film,sag_nom_count,sag_win_count
2019,Joker,1,1
2019,Ford v Ferrari,1,0
2019,Once Upon a Time in Hollywood,3,1
2019,Marriage Story,3,1
2019,Rocketman,1,0
2019,Judy,1,1
2019,Harriet,1,0
2019,Us,1,0
2019,Bombshell,4,0
2019,Just Mercy,1,0
2019,A Beautiful Day in the Neighborhood,1,0
2019,The Irishman,3,0
2019,Jojo Rabbit,2,0
2019,Parasite,1,1
2019,Hustlers,1,0
2020,Ma Rainey's Black Bottom,3,2
2020,Sound of Metal,1,0
2020,The Father,2,0
2020,Mank,1,0
2020,Minari,3,1
2020,Hillbilly Elegy,2,0
2020,Nomadland,1,0
2020,Promising Young Woman,1,0
2020,Judas and the Black Messiah,1,1
2020,The Trial of the Chicago 7,2,1
2020,Da 5 Bloods,2,0
2020,The Little Things,1,0
2020,One Night in Miami...,2,0
2020,Borat Subsequent Moviefilm,1,0
2020,News of the World,1,0
2021,King Richard,2,1
2021,Being the Ricardos,2,0
2021,The Power of the Dog,3,0
2021,"tick, tick... BOOM!",1,0
2021,The Tragedy of Macbeth,1,0
2021,The Eyes of Tammy Faye,1,1
2021,The Lost Daughter,1,0
2021,House of Gucci,3,0
2021,Respect,1,0
2021,CODA,2,2
2021,The Tender Bar,1,0
2021,Licorice Pizza,1,0
2021,West Side Story,1,1
2021,Belfast,2,0
2021,Nightmare Alley,1,0
2021,Passing,1,0
2021,Don't Look Up,1,0
2022,The Whale,2,1
2022,Elvis,1,0
2022,The Banshees of Inisherin,5,0
2022,Living,1,0
2022,Hustle,1,0
2022,Everything Everywhere All at Once,5,4
2022,Tár,1,0
2022,The Woman King,1,0
2022,Blonde,1,0
2022,Till,1,0
2022,The Fabelmans,2,0
2022,The Good Nurse,1,0
2022,Babylon,1,0
2022,Women Talking,1,0
2022,Black Panther: Wakanda Forever,1,0
2023,Oppenheimer,4,3
2023,Maestro,2,0
2023,Rustin,1,0
2023,The Holdovers,2,1
2023,American Fiction,3,0
2023,Killers of the Flower Moon,3,0
2023,Nyad,2,0
2023,Barbie,3,0
2023,Poor Things,2,0
2023,The Color Purple,2,0
2023,Ferrari,1,0
2024,Wicked,5,0
2024,A Complete Unknown,4,1
2024,Anora,3,0
2024,Emilia Pérez,3,1
2024,Conclave,2,1
2024,The Last Showgirl,2,0
2024,The Brutalist,1,0
2024,Queer,1,0
2024,Sing Sing,1,0
2024,The Substance,1,1
2024,A Real Pain,1,1
2024,The Apprentice,1,0
2024,The Piano Lesson,1,0
2024,The Fall Guy,1,1
2024,Dune: Part Two,1,0
2024,Gladiator II,1,0
2025,One Battle After Another,7,1
2025,Sinners,5,2
2025,Frankenstein,3,0
2025,Hamnet,3,1
2025,Marty Supreme,3,0
2025,Bugonia,2,0
2025,Weapons,1,1
2025,Wicked: For Good,1,0
2025,Blue Moon,1,0
2025,If I Had Legs I'd Kick You,1,0
2025,Song Sung Blue,1,0
2025,Mission: Impossible – The Final Reckoning,1,1
2025,F1,1,0
