title,release_date,year,tmdb_id,overview,original_language,genre_ids,poster_path,poster_url,backdrop_path,backdrop_url,rating,no_of_persons_voted,popularity,adult
Enervo,2027-01-01,2027,1665183,"On the one-year death anniversary of her mother, Mikey is forced to face her inner demons while paralyzed as her guilt manifests itself into physical form.",en,"18,53,27",,,,,0.0,0,0.6018,False
All Legs,2027-01-01,2027,1659742,"On their annual summer camp, a group of Boy Scouts are attacked in the woods by a creature with legs for arms.",en,27,/a0M3MgOgcrs9jMb7VoA6syGahwk.jpg,https://image.tmdb.org/t/p/w500/a0M3MgOgcrs9jMb7VoA6syGahwk.jpg,,,0.0,0,0.2108,False
The Heavy End,2027-01-01,2027,1658606,"Following the sudden passing of his wife, a devout church warden comes to question his lifelong devotion to the cause.",en,18,,,,,0.0,0,0.1201,False
Angel,2027-01-01,2027,1650906,"When a sex worker is consumed by the life of drugs and partying, accidentally overdosing, she embarks on a journey to better her life.",en,"18,35",/IwhhYKHioyNb8eKs5Ya1y5KmP6.jpg,https://image.tmdb.org/t/p/w500/IwhhYKHioyNb8eKs5Ya1y5KmP6.jpg,,,0.0,0,0.0707,False
Ātaahua,2027-01-01,2027,1643462,"A lonely man seeks solace in an art gallery, but instead meets the face of death- Hinenui Te Pō",en,"27,53",,,,,0.0,0,0.1958,False
Brujo,2027-01-01,2027,1616478,Plot unknown,en,27,,,,,0.0,0,0.0339,False
The Dream of a Ridiculous Man,2027-01-01,2027,1615971,"A man driven by isolation and a nihilistic view decides to end his own life, but on the evening of his fateful decision he has chance encounters with a woman on a bridge, a young girl in a cemetery, and a fantastical dream that challenges his own ideologies.",en,"18,14",/um4zyJYGiHppGzyR3ofqcKJBsZn.jpg,https://image.tmdb.org/t/p/w500/um4zyJYGiHppGzyR3ofqcKJBsZn.jpg,/tguhKcEjGRIn2Zh0xBXjWyRzapi.jpg,https://image.tmdb.org/t/p/w500/tguhKcEjGRIn2Zh0xBXjWyRzapi.jpg,0.0,0,0.2472,False
Get to That Place,2027-01-01,2027,1604417,A group of kids navigate their lives and interpersonal relationships while a rumor about the end of the world spreads around town.,en,"35,18,10751",/7aW2ao05IEmvIrOODDe3MwUXLUg.jpg,https://image.tmdb.org/t/p/w500/7aW2ao05IEmvIrOODDe3MwUXLUg.jpg,/avU0t8B1LOOVepA6Yi7vFIR9v9A.jpg,https://image.tmdb.org/t/p/w500/avU0t8B1LOOVepA6Yi7vFIR9v9A.jpg,0.0,0,0.123,False
The Curse of the Silver Chain,2027-01-01,2027,1584437,A silver chain that appears for centuries made by warlocks in the 15th century.,en,,/qE2ZNYzoCph6daOWXx7IFP5MjkA.jpg,https://image.tmdb.org/t/p/w500/qE2ZNYzoCph6daOWXx7IFP5MjkA.jpg,,,0.0,0,0.0791,False
The Inmate,2027-01-01,2027,1584430,About an inmate who fears the outside world.,en,,/8WFn0vtg6mXO6vDSauF6aXRuICc.jpg,https://image.tmdb.org/t/p/w500/8WFn0vtg6mXO6vDSauF6aXRuICc.jpg,,,0.0,0,0.0695,False
